[19:03:43] device=cuda (GPU used by deep model: True)
[19:03:43] [WESAD] subjects=15  window=60s stride=30s @ 700Hz
X:\dev\Empathic\src\empathic\data\wesad.py:444: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  data = pickle.load(fh, encoding="latin1")
[19:03:47] [WESAD] S10: windows=103  intervals=8
[19:03:51] [WESAD] S11: windows=102  intervals=8
[19:03:54] [WESAD] S13: windows=102  intervals=7
[19:03:58] [WESAD] S14: windows=102  intervals=8
[19:04:01] [WESAD] S15: windows=101  intervals=6
[19:04:05] [WESAD] S16: windows=99  intervals=8
[19:04:15] [WESAD] S17: windows=100  intervals=8
[19:04:25] [WESAD] S2: windows=96  intervals=7
[19:04:36] [WESAD] S3: windows=99  intervals=7
[19:04:46] [WESAD] S4: windows=99  intervals=7
[19:04:55] [WESAD] S5: windows=99  intervals=8
[19:05:06] [WESAD] S6: windows=99  intervals=8
[19:05:14] [WESAD] S7: windows=99  intervals=7
[19:05:23] [WESAD] S8: windows=100  intervals=7
[19:05:32] [WESAD] S9: windows=99  intervals=7
[19:05:32] [WESAD] samples=1499  features=89  subjects=15  dim_with_va=1476  seq_norm=zscore  baseline_corrected=1499
[19:05:32] === WESAD / target=quadrant ===
[19:05:32]   samples=1499  subjects=15  labels=['HVHA', 'HVLA', 'LVHA', 'LVLA']
[19:05:32]   feature_cols=89  seq_shape=(1499, 240, 8)
[19:05:32] --- LOSO [Baseline] ---
[19:05:32]   [Baseline] subject=S10  acc=0.117  f1=0.070
[19:05:32]   [Baseline] subject=S11  acc=0.127  f1=0.075
[19:05:32]   [Baseline] subject=S13  acc=0.127  f1=0.075
[19:05:32]   [Baseline] subject=S14  acc=0.127  f1=0.075
[19:05:32]   [Baseline] subject=S15  acc=0.129  f1=0.076
[19:05:32]   [Baseline] subject=S16  acc=0.121  f1=0.072
[19:05:32]   [Baseline] subject=S17  acc=0.120  f1=0.071
[19:05:32]   [Baseline] subject=S2  acc=0.125  f1=0.074
[19:05:32]   [Baseline] subject=S3  acc=0.131  f1=0.077
[19:05:32]   [Baseline] subject=S4  acc=0.121  f1=0.072
[19:05:32]   [Baseline] subject=S5  acc=0.121  f1=0.072
[19:05:32]   [Baseline] subject=S6  acc=0.121  f1=0.072
[19:05:32]   [Baseline] subject=S7  acc=0.131  f1=0.077
[19:05:32]   [Baseline] subject=S8  acc=0.120  f1=0.071
[19:05:32]   [Baseline] subject=S9  acc=0.121  f1=0.072
[19:05:32] --- LOSO [RandomForest] ---
[19:05:33]   [RandomForest] subject=S10  acc=0.903  f1=0.793
[19:05:33]   [RandomForest] subject=S11  acc=0.873  f1=0.637
[19:05:34]   [RandomForest] subject=S13  acc=0.941  f1=0.909
[19:05:34]   [RandomForest] subject=S14  acc=0.922  f1=0.801
[19:05:35]   [RandomForest] subject=S15  acc=0.851  f1=0.619
[19:05:36]   [RandomForest] subject=S16  acc=0.899  f1=0.768
[19:05:36]   [RandomForest] subject=S17  acc=0.970  f1=0.947
[19:05:37]   [RandomForest] subject=S2  acc=0.792  f1=0.569
[19:05:37]   [RandomForest] subject=S3  acc=0.909  f1=0.887
[19:05:38]   [RandomForest] subject=S4  acc=0.929  f1=0.846
[19:05:39]   [RandomForest] subject=S5  acc=0.929  f1=0.881
[19:05:39]   [RandomForest] subject=S6  acc=0.929  f1=0.855
[19:05:40]   [RandomForest] subject=S7  acc=0.808  f1=0.620
[19:05:40]   [RandomForest] subject=S8  acc=0.740  f1=0.649
[19:05:41]   [RandomForest] subject=S9  acc=0.798  f1=0.508
[19:05:41] --- LOSO [LogisticRegression] ---
[19:05:41]   [LogisticRegression] subject=S10  acc=0.854  f1=0.632
[19:05:41]   [LogisticRegression] subject=S11  acc=0.863  f1=0.808
[19:05:41]   [LogisticRegression] subject=S13  acc=0.951  f1=0.933
[19:05:41]   [LogisticRegression] subject=S14  acc=0.941  f1=0.876
[19:05:41]   [LogisticRegression] subject=S15  acc=0.822  f1=0.798
[19:05:42]   [LogisticRegression] subject=S16  acc=0.949  f1=0.929
[19:05:42]   [LogisticRegression] subject=S17  acc=0.940  f1=0.896
[19:05:42]   [LogisticRegression] subject=S2  acc=0.552  f1=0.511
[19:05:42]   [LogisticRegression] subject=S3  acc=0.939  f1=0.921
[19:05:42]   [LogisticRegression] subject=S4  acc=0.960  f1=0.924
[19:05:42]   [LogisticRegression] subject=S5  acc=0.929  f1=0.875
[19:05:42]   [LogisticRegression] subject=S6  acc=0.949  f1=0.925
[19:05:42]   [LogisticRegression] subject=S7  acc=0.960  f1=0.945
[19:05:42]   [LogisticRegression] subject=S8  acc=0.710  f1=0.612
[19:05:42]   [LogisticRegression] subject=S9  acc=0.707  f1=0.474
[19:05:42] --- LOSO [XGBoost] ---
X:\dev\Empathic\.venv\Lib\site-packages\xgboost\core.py:751: UserWarning: [19:05:44] WARNING: C:\actions-runner\_work\xgboost\xgboost\src\common\error_msg.cc:62: Falling back to prediction using DMatrix due to mismatched devices. This might lead to higher memory usage and slower performance. XGBoost is running on: cuda:0, while the input data is on: cpu.
Potential solutions:
- Use a data structure that matches the device ordinal in the booster.
- Set the device for booster before call to inplace_predict.

This warning will only be shown once.

  return func(**kwargs)
[19:05:44]   [XGBoost] subject=S10  acc=0.893  f1=0.782
[19:05:45]   [XGBoost] subject=S11  acc=0.892  f1=0.759
[19:05:47]   [XGBoost] subject=S13  acc=0.980  f1=0.967
[19:05:48]   [XGBoost] subject=S14  acc=0.951  f1=0.887
[19:05:50]   [XGBoost] subject=S15  acc=0.931  f1=0.867
[19:05:51]   [XGBoost] subject=S16  acc=0.869  f1=0.713
[19:05:53]   [XGBoost] subject=S17  acc=0.970  f1=0.947
[19:05:54]   [XGBoost] subject=S2  acc=0.771  f1=0.628
[19:05:56]   [XGBoost] subject=S3  acc=0.919  f1=0.894
[19:05:57]   [XGBoost] subject=S4  acc=0.939  f1=0.885
[19:05:59]   [XGBoost] subject=S5  acc=0.919  f1=0.859
[19:06:00]   [XGBoost] subject=S6  acc=0.990  f1=0.990
[19:06:02]   [XGBoost] subject=S7  acc=0.798  f1=0.641
[19:06:03]   [XGBoost] subject=S8  acc=0.700  f1=0.637
[19:06:04]   [XGBoost] subject=S9  acc=0.798  f1=0.518
[19:06:04] --- LOSO [conformer] ---
X:\dev\Empathic\.venv\Lib\site-packages\torch\nn\modules\module.py:1370: UserWarning: expandable_segments not supported on this platform (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\c10/cuda/CUDAAllocatorConfig.h:39.)
  return t.to(
[19:06:20]   [conformer_fusion] subject=S10  acc=0.883  f1=0.639
[19:06:37]   [conformer_fusion] subject=S11  acc=0.794  f1=0.569
[19:06:46]   [conformer_fusion] subject=S13  acc=0.873  f1=0.632
[19:07:00]   [conformer_fusion] subject=S14  acc=0.833  f1=0.560
[19:07:16]   [conformer_fusion] subject=S15  acc=0.772  f1=0.652
[19:07:33]   [conformer_fusion] subject=S16  acc=0.848  f1=0.685
[19:07:51]   [conformer_fusion] subject=S17  acc=0.850  f1=0.583
[19:08:08]   [conformer_fusion] subject=S2  acc=0.844  f1=0.778
[19:08:25]   [conformer_fusion] subject=S3  acc=0.869  f1=0.595
[19:08:42]   [conformer_fusion] subject=S4  acc=0.788  f1=0.548
[19:08:59]   [conformer_fusion] subject=S5  acc=0.828  f1=0.611
[19:09:12]   [conformer_fusion] subject=S6  acc=0.960  f1=0.953
[19:09:27]   [conformer_fusion] subject=S7  acc=0.798  f1=0.610
[19:09:41]   [conformer_fusion] subject=S8  acc=0.610  f1=0.474
[19:09:56]   [conformer_fusion] subject=S9  acc=0.768  f1=0.476
[19:09:56] --- LOSO [tiny_tcn] ---
[19:10:01]   [tiny_tcn_fusion] subject=S10  acc=0.786  f1=0.606
[19:10:07]   [tiny_tcn_fusion] subject=S11  acc=0.784  f1=0.604
[19:10:12]   [tiny_tcn_fusion] subject=S13  acc=0.863  f1=0.624
[19:10:18]   [tiny_tcn_fusion] subject=S14  acc=0.833  f1=0.560
