[08:01:24] device=cuda (GPU used by deep model: True)
[08:01:24] [WESAD] subjects=15  window=60s stride=30s @ 700Hz
X:\dev\Empathic\src\empathic\data\wesad.py:260: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  data = pickle.load(fh, encoding="latin1")
[08:01:27] [WESAD] S10: windows=103  intervals=8
[08:01:29] [WESAD] S11: windows=102  intervals=8
[08:01:31] [WESAD] S13: windows=102  intervals=7
[08:01:34] [WESAD] S14: windows=102  intervals=8
[08:01:36] [WESAD] S15: windows=101  intervals=6
[08:01:39] [WESAD] S16: windows=99  intervals=8
[08:01:41] [WESAD] S17: windows=100  intervals=8
[08:01:44] [WESAD] S2: windows=96  intervals=7
[08:01:47] [WESAD] S3: windows=99  intervals=7
[08:01:49] [WESAD] S4: windows=99  intervals=7
[08:01:52] [WESAD] S5: windows=99  intervals=8
[08:01:55] [WESAD] S6: windows=99  intervals=8
[08:01:57] [WESAD] S7: windows=99  intervals=7
[08:01:59] [WESAD] S8: windows=100  intervals=7
[08:02:02] [WESAD] S9: windows=99  intervals=7
[08:02:02] [WESAD] samples=1499  features=56  subjects=15  dim_with_va=1476  seq_norm=zscore
[08:02:02] === WESAD / target=valence ===
[08:02:02]   samples=1499  subjects=15  labels=['LV', 'HV']
[08:02:02]   feature_cols=56  seq_shape=(1499, 240, 8)
[08:02:02] --- LOSO [conformer] ---
[08:02:17]   [conformer] subject=S10  acc=0.922  f1=0.902
[08:02:26]   [conformer] subject=S11  acc=0.922  f1=0.876
[08:02:41]   [conformer] subject=S13  acc=1.000  f1=1.000
[08:02:49]   [conformer] subject=S14  acc=0.824  f1=0.773
[08:03:03]   [conformer] subject=S15  acc=0.931  f1=0.889
[08:03:18]   [conformer] subject=S16  acc=0.970  f1=0.958
[08:03:30]   [conformer] subject=S17  acc=0.950  f1=0.936
[08:03:46]   [conformer] subject=S2  acc=0.875  f1=0.775
[08:03:58]   [conformer] subject=S3  acc=0.949  f1=0.932
[08:04:04]   [conformer] subject=S4  acc=0.990  f1=0.985
[08:04:15]   [conformer] subject=S5  acc=0.990  f1=0.985
[08:04:27]   [conformer] subject=S6  acc=0.899  f1=0.843
[08:04:43]   [conformer] subject=S7  acc=1.000  f1=1.000
[08:04:57]   [conformer] subject=S8  acc=0.830  f1=0.782
[08:05:10]   [conformer] subject=S9  acc=0.879  f1=0.844
[08:05:10] --- LOSO [tiny_tcn] ---
[08:05:15]   [tiny_tcn] subject=S10  acc=0.981  f1=0.974
[08:05:20]   [tiny_tcn] subject=S11  acc=0.931  f1=0.908
[08:05:23]   [tiny_tcn] subject=S13  acc=1.000  f1=1.000
[08:05:27]   [tiny_tcn] subject=S14  acc=0.863  f1=0.831
[08:05:32]   [tiny_tcn] subject=S15  acc=0.802  f1=0.559
[08:05:36]   [tiny_tcn] subject=S16  acc=1.000  f1=1.000
[08:05:39]   [tiny_tcn] subject=S17  acc=0.930  f1=0.912
[08:05:45]   [tiny_tcn] subject=S2  acc=0.906  f1=0.849
[08:05:49]   [tiny_tcn] subject=S3  acc=1.000  f1=1.000
[08:05:54]   [tiny_tcn] subject=S4  acc=0.788  f1=0.441
[08:05:57]   [tiny_tcn] subject=S5  acc=1.000  f1=1.000
[08:06:00]   [tiny_tcn] subject=S6  acc=0.929  f1=0.902
[08:06:06]   [tiny_tcn] subject=S7  acc=0.990  f1=0.985
[08:06:09]   [tiny_tcn] subject=S8  acc=0.580  f1=0.566
[08:06:12]   [tiny_tcn] subject=S9  acc=0.768  f1=0.507
[08:06:13] --- LOSO [bilstm] ---
[08:06:18]   [bilstm] subject=S10  acc=0.981  f1=0.972
[08:06:23]   [bilstm] subject=S11  acc=0.853  f1=0.799
[08:06:28]   [bilstm] subject=S13  acc=0.971  f1=0.956
[08:06:30]   [bilstm] subject=S14  acc=0.824  f1=0.768
[08:06:35]   [bilstm] subject=S15  acc=0.921  f1=0.870
[08:06:40]   [bilstm] subject=S16  acc=1.000  f1=1.000
[08:06:44]   [bilstm] subject=S17  acc=0.930  f1=0.912
[08:06:50]   [bilstm] subject=S2  acc=0.958  f1=0.937
[08:06:53]   [bilstm] subject=S3  acc=0.899  f1=0.863
