[20:06:45] device=cuda (GPU used by deep model: True)
[20:06:45] [WESAD] subjects=15  window=60s stride=30s @ 700Hz
X:\dev\Empathic\src\empathic\data\wesad.py:444: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  data = pickle.load(fh, encoding="latin1")
[20:06:49] [WESAD] S10: windows=103  intervals=8
[20:06:52] [WESAD] S11: windows=102  intervals=8
[20:06:56] [WESAD] S13: windows=102  intervals=7
[20:07:00] [WESAD] S14: windows=102  intervals=8
[20:07:04] [WESAD] S15: windows=101  intervals=6
[20:07:07] [WESAD] S16: windows=99  intervals=8
[20:07:11] [WESAD] S17: windows=100  intervals=8
[20:07:15] [WESAD] S2: windows=96  intervals=7
[20:07:19] [WESAD] S3: windows=99  intervals=7
[20:07:23] [WESAD] S4: windows=99  intervals=7
[20:07:27] [WESAD] S5: windows=99  intervals=8
[20:07:31] [WESAD] S6: windows=99  intervals=8
[20:07:35] [WESAD] S7: windows=99  intervals=7
[20:07:38] [WESAD] S8: windows=100  intervals=7
[20:07:42] [WESAD] S9: windows=99  intervals=7
[20:07:42] [WESAD] samples=1499  features=89  subjects=15  dim_with_va=1476  seq_norm=zscore  baseline_corrected=1499
[20:07:42] === WESAD / target=arousal ===
[20:07:42]   samples=1499  subjects=15  labels=['LA', 'HA']
[20:07:42]   feature_cols=89  seq_shape=(1499, 240, 8)
[20:07:42] --- LOSO [Baseline] ---
[20:07:42]   [Baseline] subject=S10  acc=0.650  f1=0.394
[20:07:42]   [Baseline] subject=S11  acc=0.647  f1=0.393
[20:07:42]   [Baseline] subject=S13  acc=0.657  f1=0.396
[20:07:42]   [Baseline] subject=S14  acc=0.657  f1=0.396
[20:07:42]   [Baseline] subject=S15  acc=0.644  f1=0.392
[20:07:42]   [Baseline] subject=S16  acc=0.657  f1=0.396
[20:07:42]   [Baseline] subject=S17  acc=0.640  f1=0.390
[20:07:42]   [Baseline] subject=S2  acc=0.656  f1=0.396
[20:07:42]   [Baseline] subject=S3  acc=0.646  f1=0.393
[20:07:42]   [Baseline] subject=S4  acc=0.667  f1=0.400
[20:07:42]   [Baseline] subject=S5  acc=0.667  f1=0.400
[20:07:42]   [Baseline] subject=S6  acc=0.657  f1=0.396
[20:07:42]   [Baseline] subject=S7  acc=0.657  f1=0.396
[20:07:42]   [Baseline] subject=S8  acc=0.650  f1=0.394
[20:07:42]   [Baseline] subject=S9  acc=0.667  f1=0.400
[20:07:42] --- LOSO [RandomForest] ---
[20:07:43]   [RandomForest] subject=S10  acc=0.864  f1=0.832
[20:07:43]   [RandomForest] subject=S11  acc=0.833  f1=0.805
[20:07:44]   [RandomForest] subject=S13  acc=0.980  f1=0.978
[20:07:44]   [RandomForest] subject=S14  acc=0.990  f1=0.989
[20:07:45]   [RandomForest] subject=S15  acc=0.871  f1=0.847
[20:07:45]   [RandomForest] subject=S16  acc=0.949  f1=0.942
[20:07:46]   [RandomForest] subject=S17  acc=0.990  f1=0.989
[20:07:46]   [RandomForest] subject=S2  acc=0.802  f1=0.772
[20:07:47]   [RandomForest] subject=S3  acc=0.960  f1=0.955
[20:07:47]   [RandomForest] subject=S4  acc=0.869  f1=0.836
[20:07:48]   [RandomForest] subject=S5  acc=0.859  f1=0.833
[20:07:48]   [RandomForest] subject=S6  acc=0.980  f1=0.978
[20:07:49]   [RandomForest] subject=S7  acc=0.828  f1=0.795
[20:07:49]   [RandomForest] subject=S8  acc=0.830  f1=0.809
[20:07:50]   [RandomForest] subject=S9  acc=0.990  f1=0.989
[20:07:50] --- LOSO [LogisticRegression] ---
[20:07:50]   [LogisticRegression] subject=S10  acc=0.854  f1=0.829
[20:07:50]   [LogisticRegression] subject=S11  acc=0.814  f1=0.804
[20:07:50]   [LogisticRegression] subject=S13  acc=0.961  f1=0.957
