[13:04:13] device=cuda (GPU used by deep model: True)
[13:04:13] [WESAD] subjects=15  window=60s stride=30s @ 700Hz
X:\dev\Empathic\src\empathic\data\wesad.py:260: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  data = pickle.load(fh, encoding="latin1")
[13:04:15] [WESAD] S10: windows=103  intervals=8
[13:04:18] [WESAD] S11: windows=102  intervals=8
[13:04:20] [WESAD] S13: windows=102  intervals=7
[13:04:23] [WESAD] S14: windows=102  intervals=8
[13:04:25] [WESAD] S15: windows=101  intervals=6
[13:04:28] [WESAD] S16: windows=99  intervals=8
[13:04:31] [WESAD] S17: windows=100  intervals=8
[13:04:33] [WESAD] S2: windows=96  intervals=7
[13:04:36] [WESAD] S3: windows=99  intervals=7
[13:04:39] [WESAD] S4: windows=99  intervals=7
[13:04:42] [WESAD] S5: windows=99  intervals=8
[13:04:45] [WESAD] S6: windows=99  intervals=8
[13:04:47] [WESAD] S7: windows=99  intervals=7
[13:04:49] [WESAD] S8: windows=100  intervals=7
[13:04:52] [WESAD] S9: windows=99  intervals=7
[13:04:52] [WESAD] samples=1499  features=56  subjects=15  dim_with_va=1476  seq_norm=zscore
[13:04:52] === WESAD / target=arousal ===
[13:04:52]   samples=1499  subjects=15  labels=['LA', 'HA']
[13:04:52]   feature_cols=56  seq_shape=(1499, 240, 8)
[13:04:52] --- LOSO [conformer] ---
[13:05:06]   [conformer] subject=S10  acc=0.786  f1=0.759
[13:05:19]   [conformer] subject=S11  acc=0.755  f1=0.726
[13:05:31]   [conformer] subject=S13  acc=0.941  f1=0.933
[13:05:44]   [conformer] subject=S14  acc=0.990  f1=0.989
[13:05:56]   [conformer] subject=S15  acc=0.792  f1=0.775
[13:06:02]   [conformer] subject=S16  acc=0.949  f1=0.942
[13:06:14]   [conformer] subject=S17  acc=0.980  f1=0.979
[13:06:25]   [conformer] subject=S2  acc=0.521  f1=0.507
[13:06:36]   [conformer] subject=S3  acc=0.929  f1=0.925
[13:06:46]   [conformer] subject=S4  acc=0.818  f1=0.785
[13:06:58]   [conformer] subject=S5  acc=0.808  f1=0.775
[13:07:09]   [conformer] subject=S6  acc=0.919  f1=0.914
[13:07:21]   [conformer] subject=S7  acc=0.859  f1=0.826
[13:07:29]   [conformer] subject=S8  acc=0.560  f1=0.542
[13:07:41]   [conformer] subject=S9  acc=0.758  f1=0.713
[13:07:41] --- LOSO [tiny_tcn] ---
[13:07:46]   [tiny_tcn] subject=S10  acc=0.825  f1=0.799
[13:07:49]   [tiny_tcn] subject=S11  acc=0.833  f1=0.805
[13:07:54]   [tiny_tcn] subject=S13  acc=0.882  f1=0.855
[13:07:58]   [tiny_tcn] subject=S14  acc=0.980  f1=0.979
[13:08:01]   [tiny_tcn] subject=S15  acc=0.713  f1=0.712
[13:08:05]   [tiny_tcn] subject=S16  acc=0.808  f1=0.779
[13:08:08]   [tiny_tcn] subject=S17  acc=0.910  f1=0.899
[13:08:11]   [tiny_tcn] subject=S2  acc=0.656  f1=0.656
[13:08:15]   [tiny_tcn] subject=S3  acc=0.919  f1=0.906
[13:08:18]   [tiny_tcn] subject=S4  acc=0.869  f1=0.836
[13:08:22]   [tiny_tcn] subject=S5  acc=0.869  f1=0.836
[13:08:27]   [tiny_tcn] subject=S6  acc=0.879  f1=0.857
[13:08:31]   [tiny_tcn] subject=S7  acc=0.677  f1=0.655
[13:08:35]   [tiny_tcn] subject=S8  acc=0.590  f1=0.588
[13:08:39]   [tiny_tcn] subject=S9  acc=0.919  f1=0.904
[13:08:39] --- LOSO [bilstm] ---
[13:08:43]   [bilstm] subject=S10  acc=0.825  f1=0.784
[13:08:47]   [bilstm] subject=S11  acc=0.725  f1=0.703
[13:08:51]   [bilstm] subject=S13  acc=0.843  f1=0.815
[13:08:55]   [bilstm] subject=S14  acc=0.971  f1=0.968
[13:08:59]   [bilstm] subject=S15  acc=0.861  f1=0.858
