[19:56:51] device=cuda (GPU used by deep model: True)
[19:56:51] [WESAD] subjects=15  window=60s stride=30s @ 700Hz
X:\dev\Empathic\src\empathic\data\wesad.py:444: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  data = pickle.load(fh, encoding="latin1")
[19:56:55] [WESAD] S10: windows=103  intervals=8
[19:56:59] [WESAD] S11: windows=102  intervals=8
[19:57:03] [WESAD] S13: windows=102  intervals=7
[19:57:07] [WESAD] S14: windows=102  intervals=8
[19:57:11] [WESAD] S15: windows=101  intervals=6
[19:57:15] [WESAD] S16: windows=99  intervals=8
[19:57:19] [WESAD] S17: windows=100  intervals=8
[19:57:22] [WESAD] S2: windows=96  intervals=7
[19:57:26] [WESAD] S3: windows=99  intervals=7
[19:57:31] [WESAD] S4: windows=99  intervals=7
[19:57:34] [WESAD] S5: windows=99  intervals=8
[19:57:39] [WESAD] S6: windows=99  intervals=8
[19:57:42] [WESAD] S7: windows=99  intervals=7
[19:57:46] [WESAD] S8: windows=100  intervals=7
[19:57:49] [WESAD] S9: windows=99  intervals=7
[19:57:50] [WESAD] samples=1499  features=89  subjects=15  dim_with_va=1476  seq_norm=zscore  baseline_corrected=1499
[19:57:50] === WESAD / target=arousal ===
[19:57:50]   samples=1499  subjects=15  labels=['LA', 'HA']
[19:57:50]   feature_cols=89  seq_shape=(1499, 240, 8)
[19:57:50] --- LOSO [Baseline] ---
[19:57:50]   [Baseline] subject=S10  acc=0.650  f1=0.394
[19:57:50]   [Baseline] subject=S11  acc=0.647  f1=0.393
[19:57:50]   [Baseline] subject=S13  acc=0.657  f1=0.396
[19:57:50]   [Baseline] subject=S14  acc=0.657  f1=0.396
[19:57:50]   [Baseline] subject=S15  acc=0.644  f1=0.392
[19:57:50]   [Baseline] subject=S16  acc=0.657  f1=0.396
[19:57:50]   [Baseline] subject=S17  acc=0.640  f1=0.390
[19:57:50]   [Baseline] subject=S2  acc=0.656  f1=0.396
[19:57:50]   [Baseline] subject=S3  acc=0.646  f1=0.393
[19:57:50]   [Baseline] subject=S4  acc=0.667  f1=0.400
[19:57:50]   [Baseline] subject=S5  acc=0.667  f1=0.400
[19:57:50]   [Baseline] subject=S6  acc=0.657  f1=0.396
[19:57:50]   [Baseline] subject=S7  acc=0.657  f1=0.396
[19:57:50]   [Baseline] subject=S8  acc=0.650  f1=0.394
[19:57:50]   [Baseline] subject=S9  acc=0.667  f1=0.400
[19:57:50] --- LOSO [RandomForest] ---
[19:57:50]   [RandomForest] subject=S10  acc=0.864  f1=0.832
[19:57:51]   [RandomForest] subject=S11  acc=0.833  f1=0.805
[19:57:51]   [RandomForest] subject=S13  acc=0.980  f1=0.978
[19:57:52]   [RandomForest] subject=S14  acc=0.990  f1=0.989
[19:57:53]   [RandomForest] subject=S15  acc=0.871  f1=0.847
[19:57:53]   [RandomForest] subject=S16  acc=0.949  f1=0.942
[19:57:54]   [RandomForest] subject=S17  acc=0.990  f1=0.989
